title,link
"Chris Thompson, CDME - President and CEO - Brand USA",https://www.linkedin.com/in/chris-thompson-cdme-b30405205
Antonio Pietri - President and Chief Executive Officer,https://www.linkedin.com/in/antonio-pietri-5a8a164
Julie Sweet - Chair - Accenture,https://www.linkedin.com/in/julie-sweet
Jeff Weiner,https://www.linkedin.com/in/jeffweiner08
Nimrod Basri - Founder and CEO - Make USA LLC,https://www.linkedin.com/in/nimrod-basri-b2088318
Javier Estades Saez - President and Chief Executive Officer,https://www.linkedin.com/in/javier-estades-saez-b9003918
Anders Gustafsson - Chief Executive Officer - HolDaCaCha,https://www.linkedin.com/in/andersgustafsson-volvo
David DeWolf - President and Chief Executive Officer,https://www.linkedin.com/in/ddewolf
Pierre Bang - President and Chief Executive Officer,https://www.linkedin.com/in/pierre-bang-220aab207
Jaimie Longmuir - Founder and CEO - USA Sports,https://uk.linkedin.com/in/jaimie-longmuir-39587444
"Matthew Prince - CEO & Co-Founder - Cloudflare, Inc.",https://www.linkedin.com/in/mprince
Albert Periu - CEO USA - Zilch,https://www.linkedin.com/in/albertperiu
Dean Richards - President and CEO - Piller USA Inc.,https://www.linkedin.com/in/dean-richards-ab1a6725
Hideki (Chris) Ono - Chairman & CEO - Pioneer North ...,https://www.linkedin.com/in/hideki-chris-ono-942a5027
Jeff Mosler,https://www.linkedin.com/in/jeff-mosler-9799808
Frank Rivera - Owner and CEO - On The Move USA,https://www.linkedin.com/in/frank-rivera-273a8a29
Klaus Kleinfeld - Chief Executive Officer - AllergoSan USA,https://www.linkedin.com/in/klauskleinfeld
Paul Barlow - CEO - A-SAFE USA,https://www.linkedin.com/in/paul-barlow-6664658
Chuck Robbins - Chair and CEO - Cisco,https://www.linkedin.com/in/chuck-robbins
Satya Nadella,https://www.linkedin.com/in/satyanadella
Chris Keffer - President and Chief Executive Officer - STIHL ...,https://www.linkedin.com/in/chris-keffer
Javier González - Region President North America and ...,https://www.linkedin.com/in/javiermgonzalez
Jane Fraser,https://www.linkedin.com/in/jane-fraser-3292068
Greg Anderson,https://www.linkedin.com/in/greg-anderson-7322136
KS Choi,https://www.linkedin.com/in/ks-choi-9a7a1461
Federico Turconi - President & CEO of the Americas - Gucci,https://www.linkedin.com/in/federico-turconi-75446314
Edward Hall - President and CEO - Baerlocher USA,https://www.linkedin.com/in/edward-hall-18ba356
Sebastian Mackensen,https://www.linkedin.com/in/sebastian-mackensen-222616209
"Barron Segar - Washington, District of Columbia, United ...",https://www.linkedin.com/in/barron-segar-89678852
John P Cody - President and CEO - medi USA,https://www.linkedin.com/in/john-p-cody-45591a6
Sophie Goldschmidt - U.S. Ski & Snowboard Team,https://www.linkedin.com/in/sophie-goldschmidt-6a2bb04
"Jun (Jeff) Ashida - Chairman, President and CEO",https://www.linkedin.com/in/jun-jeff-ashida-411a24140
David Rose - Chief Executive Officer - US Expansion ...,https://www.linkedin.com/in/davidbrose
Diane Sanchez - President and CEO - Telefonica USA,https://www.linkedin.com/in/diane-sanchez-65b6a911
Paul Knopp,https://www.linkedin.com/in/paulknopp-kpmg
"Paul Hewins - President / Chief Executive Officer, Skanska ...",https://www.linkedin.com/in/paul-hewins-6a4685a
Chris Hilliard - CEO - USA Companies,https://www.linkedin.com/in/chris-hilliard-48766215
allan tatala - ceo - usa,https://www.linkedin.com/in/allan-tatala-25831019
Paul Rice - Founder & CEO - Fair Trade USA,https://www.linkedin.com/in/pauldrice
Barbara Humpton - U.S. CEO - Siemens,https://www.linkedin.com/in/barbara-humpton
Suzanne Ehlers - Executive Director and CEO,https://www.linkedin.com/in/suzanne-ehlers
Mike Sievert - President and CEO - T-Mobile,https://www.linkedin.com/in/sievert
Kenny Khan - CEO - USA Studios,https://www.linkedin.com/in/kenny-khan-04207131
Michael J. Nyenhuis - President and CEO - UNICEF USA,https://www.linkedin.com/in/michaelnyenhuis
Brendan Quirk - Chief Executive Officer - USA Cycling,https://www.linkedin.com/in/brendan-quirk-a2093321
Sam Yoshida,https://www.linkedin.com/in/sam-yoshida-59199434
Roger Dow,https://www.linkedin.com/in/rogerdow
Philippe Huguet - CEO USA & VP Sales North America,https://www.linkedin.com/in/philippe-huguet-a8098258
"JOSE DIAZ - President and CEO - MASA-USA, LLC",https://www.linkedin.com/in/jose-diaz-74b72366
Vanessa Reed - President and CEO - New Music USA,https://www.linkedin.com/in/vanessareed74
Ahsanul Karim - Co-Founder & CEO - T-Load USA,https://www.linkedin.com/in/ahsanul-karim
Mike Reed - Chairman / CEO - Gannett | USA TODAY ...,https://www.linkedin.com/in/mike-reed-1659b38
Mike Monahan - President / CEO - Chefs USA,https://www.linkedin.com/in/mike-monahan-254a52170
"Steve Presley - CEO, Nestlé Zone North America",https://www.linkedin.com/in/steve-presley
"Rafael Na - Principal CEO - USA LA Limo and Service, Inc",https://www.linkedin.com/in/rafael-na-7324b9196
Ross Young - CEO - USA Rugby,https://www.linkedin.com/in/ross-young-432a7037
Li Li Leung - President and CEO - USA Gymnastics,https://www.linkedin.com/in/li-li-leung
Mary Barra,https://www.linkedin.com/in/mary-barra
Karen Davis Fili - President and CEO - URENCO USA,https://www.linkedin.com/in/karen-davis-fili-a1810814
Alberto Paderi - President & CEO - Bindi North America,https://www.linkedin.com/in/alberto-paderi-15a4596
Scott Messing - President & CEO - Youth For ...,https://www.linkedin.com/in/scott-messing-b06b749
George Washington - CEO - USA TODAY,https://www.linkedin.com/in/george-washington-4aa515aa
"Jan Heck - German American Chamber of Commerce, Inc.",https://www.linkedin.com/in/heckjan
Jimmy Lam - CEO & Founder - One Shop Usa,https://www.linkedin.com/in/jimmylam2
Charles Price - CEO - USA Realty,https://www.linkedin.com/in/charles-price-9736a966
Tom Hale,https://www.linkedin.com/in/tomeghale
David Flitman - Chief Executive Officer - US Foods,https://www.linkedin.com/in/daveflitman
Kevin Lobo - Chair & CEO - Stryker,https://www.linkedin.com/in/kevinalobo
Alvaro GIbson - ceo - usa,https://www.linkedin.com/in/alvaro-gibson-7134bba
Hemant Kaushik (Harry) - CEO & Chairman - USA TV ...,https://www.linkedin.com/in/hemant-kaushik-harry-28aaa4a1
"Kristof Van Beveren - CEO, General Manager United States",https://www.linkedin.com/in/kristofvanbeveren
Steve Whittingham - CEO USA - Agility,https://www.linkedin.com/in/steve-whittingham-65927b160
Jon Zwinski - Chief Executive Officer - General Manager,https://www.linkedin.com/in/jon-zwinski-741a867
Michal Lagunionek,https://www.linkedin.com/in/michal-lagunionek-b67b5419b
Nadim Ahmed - President and CEO - Cullinan Oncology,https://www.linkedin.com/in/nadim-ahmed-806b181b7
"Dan Schulman - San Jose, California, United States",https://www.linkedin.com/in/dan-schulman
"Dave Ricks - Chair, CEO - Eli Lilly and Company",https://www.linkedin.com/in/davearicks
Jim Shreve - Notre Dame - New York ...,https://www.linkedin.com/in/jim-shreve-0449083
Jeff Harmening,https://www.linkedin.com/in/jeff-harmening
Miquel Colet - Chief Executive Officer (CEO) USA and ...,https://www.linkedin.com/in/miquelcolet
Philipp Skogstad - President and CEO - Mercedes-Benz ...,https://www.linkedin.com/in/philippskogstad
Joe Schmo - CEO - USA,https://www.linkedin.com/in/joe-schmo-ab56751b6
Megan Myungwon Lee,https://www.linkedin.com/in/meganmyungwonlee
Max Siegel - CEO - USA Track & Field,https://www.linkedin.com/in/max-siegel-26052b40
Suzanne McCormick,https://www.linkedin.com/in/suzanne-mccormick-15547512
John R. Schmidt - President & CEO SKF USA Inc ...,https://www.linkedin.com/in/john-r-schmidt-7ba27b102
Josh Whale - Founder and CEO - Ampersand USA Inc,https://ke.linkedin.com/in/josh-whale
Stephen Liquori - CEO - Goodwear USA,https://www.linkedin.com/in/stephenliquori
Paul Seiler - Executive Director/CEO - USA Baseball,https://www.linkedin.com/in/paul-seiler-0317725
"Gretchen Watkins - President, Shell USA, Inc.",https://www.linkedin.com/in/gretchen-watkins
Hans Lee - President & CEO - WIDE USA Corporation,https://www.linkedin.com/in/hans-lee-7123b76
Stacey Kennedy - President Americas & CEO of PMI's U.S. ...,https://www.linkedin.com/in/stacey-kennedy-7626275
Lewis (Lou) Cornell,https://www.linkedin.com/in/lewis-lou-cornell-b3905832
Mark J. Barrenechea - CEO & CTO - OpenText,https://www.linkedin.com/in/markbarrenechea
Christophe Georges,https://www.linkedin.com/in/christophegeorges
Sean Segal - Co-Founder and CEO - Escalate,https://www.linkedin.com/in/sean-segal
Sasha Nikolic - Chief Executive Officer - Reece USA,https://www.linkedin.com/in/sasha-nikolic-850a1394
Diego Sampaio - Founder and CEO - USA Ecommerce ...,https://www.linkedin.com/in/diegosampaio
Dan Rothmann,https://www.linkedin.com/in/dan-rothmann-2299119
Liz Ryan - Founder and CEO - Human Workplace,https://www.linkedin.com/in/lizryan
"Blake Richetta - Chairman and CEO - sonnen, Inc.",https://www.linkedin.com/in/blake-richetta-46b43322
Uri Yarden - Founder & CEO - USA-MORTGAGES,https://il.linkedin.com/in/uriyarden
Jim Tolbert - CEO - USA Inc,https://www.linkedin.com/in/jim-tolbert-8278a894
Thomas Howell - Chairman & CEO - Tech USA,https://www.linkedin.com/in/thomas-howell-37b0981b
Jeffrey Sweeney - Chairman & CEO at US Capital Global,https://www.linkedin.com/in/jeffreysweeney1
"Gerard Adams - President & CEO - Kyowa Hakko U.S.A., Inc.",https://www.linkedin.com/in/gerard-adams-30b01b119
Chris Maze - President & CEO - Pescanova USA,https://www.linkedin.com/in/chris-maze
Christiana Riley,https://www.linkedin.com/in/christiana-riley
Shane Grant,https://www.linkedin.com/in/shane-grant-842a4718
Milo Liu - CEO - US New Power,https://www.linkedin.com/in/milo-liu-83b25198
"Axel Husen - President & CEO at Interlock USA, Inc.",https://www.linkedin.com/in/axel-husen-545aa6105
Vijayakumar C,https://www.linkedin.com/in/vijayakumar-c-hcl
"Bryan Poerner - President & CEO, USA - Diadora",https://www.linkedin.com/in/bryan-poerner-b0a0205
Rauf Shakir - Chief Executive Officer - USA Guided Tours,https://www.linkedin.com/in/rauf-shakir-b6882958
Jean-Claude Dubacher - Chairman and CEO - B. Braun of ...,https://www.linkedin.com/in/jean-claude-dubacher
"Meena Munshi - Founder and CEO - DART, USA",https://www.linkedin.com/in/meena-munshi
Ali javed - CEO - Baco USA INC,https://www.linkedin.com/in/ali-javed-75b9534a
Jason Hart - Chief Executive Officer - ALDI USA,https://www.linkedin.com/in/jasonhartaldi
Chris Cousins - Founder & CEO - Sports Recruiting USA,https://uk.linkedin.com/in/chrismcousins
Marc Hruschka,https://www.linkedin.com/in/marchruschka
John Gordon,https://www.linkedin.com/in/johnpgordon
Seth Kaufman,https://www.linkedin.com/in/sethkauf
Craig Hewitt - President and CEO - YAMAHA MOTOR ...,https://www.linkedin.com/in/craig-hewitt-7629759
Larry Fink,https://www.linkedin.com/in/laurencefink
Gregory Kelly - Chief Executive Officer - STV,https://www.linkedin.com/in/gregory-kelly-aa1b3a4
Johan Slabbert - Chief Executive Officer - MSIG Holdings ...,https://www.linkedin.com/in/johan-slabbert-45997114
Joe E. - President&CEO - Jaguar Land Rover North America,https://www.linkedin.com/in/joe-e-82a64b4
Tori Tomlinson - Founder & CEO - US Wellness,https://www.linkedin.com/in/tori-tomlinson-73ab175
Thomas Bronz - President and CEO - US Tarp,https://www.linkedin.com/in/thomas-bronz-37464a4
Scott Parker - Sumitomo Electric Device Innovations USA,https://www.linkedin.com/in/scott-parker-8b93ba9
USA Villa Rentals - CEO,https://uk.linkedin.com/in/usa-villa-rentals-41281a11b
Don Eaton - President & CEO - Sauer Compressors USA,https://www.linkedin.com/in/doneatonsauer
Jerry Smith - Founder and CEO - USA eShop,https://www.linkedin.com/in/jerry-smith-58277329
Mike Marusic,https://www.linkedin.com/in/mikemarusic
Franco Gussalli Beretta - President & C.E.O.,https://it.linkedin.com/in/francogussalliberetta/en
John Furner - Walmart,https://www.linkedin.com/in/furner
Jeff Lawson - Twilio Inc.,https://www.linkedin.com/in/jeffiel
LT Gibson - President and CEO - US LBM,https://www.linkedin.com/in/lt-gibson-ab8666b6
Chris Caldwell - President and CEO - Concentrix,https://www.linkedin.com/in/chriscaldwell-cnxc
"Nick Maynard, PhD - Co-founder and CEO - US Ignite",https://www.linkedin.com/in/nick-maynard-phd-254378
"John Street - CEO, Chairman, Founder - Pax8",https://www.linkedin.com/in/john-street-pax8
jay matthew - President and CEO - Sportime USA,https://www.linkedin.com/in/jay-matthew-2449105a
Chris Nassetta - President and CEO - Hilton,https://www.linkedin.com/in/chrisnassetta
Greg Hewitt,https://www.linkedin.com/in/greg-hewitt-b995992
Usa Exportteam - ceo - USA Networks,https://www.linkedin.com/in/usa-exportteam-68381b32
Andrew Swinand - CEO Publicis Groupe Creative and ...,https://www.linkedin.com/in/andrewswinand
SeungKyu (Sean) Yoon - President & CEO - Kia Motors ...,https://www.linkedin.com/in/seungkyu-sean-yoon-3251b1a9
Nolan Pike - United States | Professional Profile,https://www.linkedin.com/in/nolan-pike-b735948
Minoru Tanabe - President and CEO - Kumon North ...,https://www.linkedin.com/in/minoru-tanabe-44b61453
Christophe MASSONI,https://www.linkedin.com/in/christophe-massoni-05186313/en
Gary Bessoni - CEO - Peak USA,https://www.linkedin.com/in/garybessoni
Ronan Dunne,https://www.linkedin.com/in/dunneronan
Matt Speers - Owner and CEO - USA Ski & Golf Tours,https://www.linkedin.com/in/matt-speers-60193019b
Michael Zerkel - CEO and General Counsel - ALL USA ...,https://www.linkedin.com/in/michael-zerkel-b97a9314
Chris Wilkes - President and CEO - Enginsoft USA,https://www.linkedin.com/in/wilkeschris
Tim Wennes - CEO and Country Head - Santander US,https://www.linkedin.com/in/tim-wennes
Aaron Garry - President and CEO - Bizerba North America,https://www.linkedin.com/in/aaronlgarry
Esi Eggleston Bracey,https://www.linkedin.com/in/esiegglestonbracey
Anthony Capuano - President and Chief Executive Officer,https://www.linkedin.com/in/anthonycapuano
"Jim Milton - Boca Raton, Florida, United States",https://www.linkedin.com/in/jim-milton-9b044416
Jeff Barna - President & CEO - Yokohama Tire Corporation,https://www.linkedin.com/in/jeff-barna
Sébastien Guinchard - CEO - Sabon USA,https://www.linkedin.com/in/s%C3%A9bastien-guinchard-9b506a36
Steven Locke - CEO - USA Field Hockey,https://www.linkedin.com/in/steven-locke-a5244967
"Noel Wallace - Chairman, President and Chief Executive ...",https://www.linkedin.com/in/noel-wallace-453797173
Jeff Eilers - President and CEO - Broekema Beltway USA Inc,https://www.linkedin.com/in/jeff-eilers-150b9311
Logan Nathan - Founder and CEO | 'Field Service ...,https://au.linkedin.com/in/logannathan
Jeff Mechura - President & CEO - Elan USA Corp.,https://www.linkedin.com/in/jeff-mechura-261a2a10
Olivier Poirot,https://www.linkedin.com/in/olivier-poirot-7a3221a
Mike Walters - CEO - USA Financial,https://www.linkedin.com/in/mike-walters1
David Borrero - CEO - USA Land Ventures,https://www.linkedin.com/in/david-borrero-3b7b6459
Suzanne Clark,https://www.linkedin.com/in/suzanne-clark-14081665
Peter J Arduini - President & CEO - GE HealthCare,https://www.linkedin.com/in/peter-j-arduini
Mike McGowan - Region Head and Chief Executive Officer,https://www.linkedin.com/in/mike-mcgowan
Gloria Negrao - President and CEO - Liberty Imports USA ...,https://www.linkedin.com/in/gloria-negrao-5290408
John Boyle - Morris Catholic - United States,https://www.linkedin.com/in/john-boyle-79a7933
David Utrilla - President & CEO - U.S. Translation Company,https://www.linkedin.com/in/davidutrilla
